WARD,TOTVOTES,Joyce,P_Joyce,Vallas,P_Vallas,Wilson,P_Wilson,Preckw,P_Preckw,Daley,P_Daly,McCarth,P_McCarth,Chico,P_Chico,Mendoza,P_Mendoza,Enyia,P_Enyia,Ford,P_Ford,Sal_Grif,P_Sal_Grif,Lightft,P_Lightft,Fioretti,P_Fioretti,Kozlar,P_Kozlar,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
31,6306,317,0.050269585,257,0.040754837,256,0.040596258,684,0.108468126,1011,0.160323501,276,0.04376784,714,0.1132255,1441,0.228512528,449,0.07120203,19,0.003013003,11,0.00174437,782,0.12400888,52,0.008246115,37,0.005867428,53846.93764,40867.4854,10195.33757,1274.012478,59.99995948,989.0379209,15.99905452,134.0040072,311.0612575,0.189339227,0.023659887,0.758956538,0.01836758,0.009676767
32,12303,480,0.039014874,746,0.060635617,191,0.015524669,1689,0.137283589,2221,0.180525075,247,0.020076404,582,0.047305535,954,0.077542063,1291,0.104933756,60,0.004876859,53,0.004307892,3629,0.294968707,89,0.007234008,71,0.00577095,55011.33904,9859.555662,40027.44409,1461.693159,69.98310119,2509.188416,14.99990837,101.0052486,967.4694575,0.727621701,0.026570761,0.179227698,0.045612204,0.020967636
33,10574,428,0.040476641,515,0.048704369,214,0.02023832,1699,0.160677133,1348,0.127482504,278,0.026290902,659,0.062322678,1405,0.132873085,1152,0.108946472,64,0.006052582,33,0.003120862,2663,0.251844146,74,0.006998298,42,0.003972007,55946.42428,29588.22036,18082.26793,1979.957134,111.1296003,4968.319743,16.01797689,160.0501834,1040.461356,0.323206857,0.035390236,0.52886705,0.088804956,0.023730902
34,11478,325,0.028315037,270,0.023523262,3488,0.303885694,2644,0.23035372,1076,0.093744555,90,0.007841087,312,0.027182436,374,0.032584074,1025,0.089301272,190,0.016553407,26,0.002265203,1580,0.137654644,72,0.00627287,6,0.000522739,52529.70874,880.9863896,295.0029206,50726.73283,79.00057813,38.99997024,13.99989091,25.00126394,469.9848972,0.005615925,0.965677024,0.016771203,0.000742436,0.011193411
35,7703,272,0.035310918,287,0.037258211,196,0.025444632,1404,0.182266649,826,0.107230949,184,0.023886797,525,0.068155264,1115,0.144748799,1021,0.132545761,52,0.006750617,22,0.00285603,1711,0.222121251,57,0.007399714,31,0.004024406,55298.77298,38323.70121,10860.45791,2361.097929,103.8877359,2790.801291,14.00063954,123.9908299,720.8354299,0.196396002,0.042697112,0.693029866,0.050467689,0.017409331
36,5681,480,0.084492167,406,0.071466291,266,0.046822742,494,0.086956522,921,0.162119345,270,0.047526844,658,0.115824679,1259,0.221615913,250,0.044006337,25,0.004400634,4,0.000704101,551,0.096989967,45,0.007921141,52,0.009153318,54652.53305,36404.08881,14384.51616,1871.974884,54.00178108,1460.996269,7.999566927,90.00137205,378.9542079,0.263199441,0.034252299,0.666100669,0.026732453,0.009715138
37,7473,126,0.016860699,154,0.02060752,2445,0.32717784,1369,0.183192828,727,0.097283554,70,0.009367055,192,0.025692493,354,0.047370534,551,0.073732102,599,0.080155225,13,0.001739596,812,0.108657835,50,0.006690753,11,0.001471966,51537.98155,9356.345371,751.9947951,40789.65882,81.99549971,182.9955503,3,50.99953965,320.9919694,0.01459108,0.791448512,0.18154272,0.003550693,0.008866995
38,10203,1488,0.145839459,1080,0.10585122,346,0.033911595,747,0.073213761,1764,0.172890326,677,0.066353033,1054,0.10330295,1415,0.138684701,289,0.028325002,25,0.00245026,18,0.001764187,1120,0.109771636,110,0.010781143,70,0.006860727,59952.09628,14106.25477,42042.29137,525.0072944,55.00013638,2472.554043,11,76.99541273,662.9932506,0.701264743,0.008757113,0.235292102,0.041242162,0.01344388
39,12644,1172,0.092692186,1398,0.110566276,394,0.031161025,1447,0.114441632,2403,0.190050617,552,0.043657071,973,0.076953496,1221,0.096567542,615,0.048639671,31,0.002451756,31,0.002451756,2243,0.177396394,108,0.008541601,56,0.004428978,56275.61776,13124.50958,30399.27618,1494.088377,134.0134037,9330.076568,19.99867068,155.0046044,1618.650372,0.540185562,0.02654948,0.233218401,0.165792522,0.034254036
40,12858,669,0.052029865,828,0.064395707,270,0.0209986,2182,0.169699798,1550,0.120547519,294,0.022865142,662,0.051485457,1106,0.086016488,1271,0.098848966,58,0.00451081,27,0.00209986,3827,0.297635713,69,0.005366309,45,0.003499767,55315.10731,13056.14132,28128.98145,3816.748986,104.0184531,8755.736368,13.00008261,166.9879566,1273.492693,0.508522587,0.069000119,0.236032107,0.158288337,0.02815685
41,16892,3523,0.208560265,2603,0.154096614,587,0.034750178,830,0.049135686,3172,0.187781198,1140,0.067487568,1547,0.091581814,1456,0.086194648,268,0.015865498,16,0.000947194,28,0.001657589,1461,0.086490646,195,0.011543926,66,0.003907175,66543.60862,6391.093274,54986.52219,680.0055705,61.00491438,3476.977983,8,79.99987059,860.0048201,0.826323118,0.010218946,0.096043683,0.052251119,0.015163133
42,12651,505,0.039917793,928,0.073353885,292,0.023081179,1415,0.111848866,4038,0.319184254,519,0.041024425,651,0.051458383,839,0.066318868,519,0.041024425,50,0.003952257,54,0.004268437,2674,0.21136669,93,0.007351198,74,0.00584934,55806.22531,3229.220981,38791.55592,2899.0665,67.48854222,9442.802287,21.00288302,142.0035052,1213.084685,0.695111624,0.051948801,0.057864888,0.16920697,0.025867717
43,13231,469,0.035447056,1040,0.07860328,293,0.022144963,1519,0.114806137,4130,0.312145718,321,0.024261205,596,0.045045726,891,0.067341849,662,0.050034011,43,0.003249943,44,0.003325523,3079,0.232711057,81,0.006121986,63,0.004761545,56173.88968,2704.283033,47647.39319,1764.903708,41.98570285,2897.495207,16.00032012,100.9937601,1000.834765,0.848212461,0.031418578,0.048141281,0.051580818,0.020646862
44,14113,427,0.030255793,882,0.062495571,223,0.015801035,1952,0.138312194,2911,0.206263728,330,0.023382697,663,0.046977964,1279,0.090625664,1074,0.07610005,66,0.004676539,54,0.003826259,4088,0.289662014,90,0.006377099,74,0.005243393,56176.71195,3584.408988,46339.37932,1639.382648,54.02365981,3432.382051,25.00103466,76.01156895,1026.122685,0.824885931,0.029182602,0.063805959,0.061099732,0.021025776
45,14516,1835,0.126412235,1486,0.102369799,571,0.039335905,1408,0.096996418,2335,0.160856985,919,0.063309452,1236,0.085147424,1576,0.108569854,590,0.040644806,44,0.003031138,20,0.00137779,2220,0.152934693,178,0.012262331,98,0.006751171,56056.48102,13750.88666,36074.37255,861.2176126,147.9946374,4183.017736,14,77.99864265,946.9931727,0.64353616,0.015363391,0.245304136,0.074621483,0.02117483
46,13049,368,0.028201395,611,0.046823511,445,0.03410223,2238,0.171507395,1889,0.144762051,275,0.021074412,564,0.043221703,1141,0.087439651,1410,0.108054257,78,0.00597747,45,0.00344854,3832,0.29366235,89,0.006820446,64,0.00490459,53667.3806,6170.858177,30734.95726,10643.7634,144.9940535,4757.915291,19.00037125,104.9992765,1090.89277,0.572693448,0.198328357,0.114983405,0.088655627,0.025339162
47,18548,706,0.038063403,1135,0.061192581,284,0.015311624,2968,0.160017253,2724,0.146862195,351,0.018923873,785,0.042322622,1530,0.082488678,1861,0.100334268,82,0.004420962,47,0.002533966,5873,0.316637912,116,0.006254044,86,0.004636619,55076.2574,7703.649859,41171.84699,1483.732903,93.98219135,3342.426695,19.97981142,117.9673965,1142.671562,0.74754257,0.02693961,0.139872428,0.060687252,0.02495814
48,14304,590,0.041247204,634,0.044323266,390,0.027265101,2823,0.197357383,1753,0.122553132,285,0.019924497,537,0.037541946,962,0.067253915,1382,0.096616331,67,0.004684004,31,0.002167226,4724,0.330257271,77,0.00538311,49,0.003425615,55891.37858,7757.186125,30102.65929,9041.365717,122.9967527,7326.406854,14.00032045,145.0061273,1381.757401,0.538592177,0.161766733,0.138790388,0.131082951,0.02976775
49,11640,353,0.03032646,451,0.038745704,431,0.037027491,2751,0.236340206,1054,0.090549828,168,0.01443299,425,0.036512027,989,0.084965636,1654,0.14209622,68,0.005841924,40,0.003436426,3142,0.269931271,80,0.006872852,34,0.002920962,56454.2403,13532.53751,21975.29224,15076.51404,147.0006488,3827.602792,38.00004418,216.9980246,1640.295006,0.389258488,0.267057248,0.239708079,0.067800094,0.036176091
50,8807,513,0.05824912,794,0.090155558,371,0.042125582,1260,0.143068014,1964,0.223004428,323,0.036675372,569,0.064607698,725,0.082320881,543,0.061655501,27,0.003065743,18,0.002043829,1559,0.177018281,117,0.013284887,24,0.002725105,56412.02468,10699.63466,25382.48402,5869.574062,158.9837049,12609.41577,1.001350402,171.9937799,1518.937338,0.449948112,0.104048279,0.189669396,0.223523546,0.032810667
