WARDS_PREC,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP
W13-P13,2202,2006,33,1,61,0,6,52,43,30,5,0,0,0,4,4,1581,1482,24,1,39,0,0
W13-P10,1476,1310,37,1,43,1,3,58,23,10,0,1,0,0,4,8,1118,1031,24,1,28,1,3
W12-P12,3581,2747,226,117,72,0,3,119,297,143,4,4,5,0,125,16,2951,2387,163,91,66,0,1
W2-P1,2399,1421,324,114,52,0,2,109,377,89,12,18,0,0,215,43,1940,1266,240,88,41,0,2
W5-P6C,1960,498,952,68,157,0,3,80,202,107,17,7,0,0,42,29,1330,465,590,46,84,0,3
W10-P8,2199,1487,365,11,52,0,5,70,209,109,3,6,0,0,67,24,1970,1412,289,11,51,0,4
W3-P10,1938,1045,296,58,91,0,8,86,354,103,3,25,0,0,185,38,1491,933,175,42,59,0,3
W10-P10,4237,1398,987,102,113,1,3,109,1524,407,25,68,0,0,920,104,3224,1316,641,66,105,1,2
W9-P1,3343,664,821,91,104,1,2,130,1530,365,22,17,1,0,1017,108,2240,589,513,55,74,1,2
W12-P5,2225,1817,118,22,51,0,16,51,150,27,2,5,0,0,107,9,1779,1525,88,19,40,0,2
W1-P10,1491,1134,132,20,50,0,4,64,87,36,0,3,0,0,32,16,1198,984,78,19,37,0,2
W3-P11,1180,1039,54,1,36,0,1,15,34,28,1,0,0,0,4,1,1143,1006,53,1,35,0,1
W5-P9,2960,798,1218,31,524,3,9,109,268,95,13,12,2,0,118,28,2053,733,750,23,311,3,4
W12-P11,2201,1689,178,32,58,0,3,71,170,60,2,3,1,0,87,17,1855,1494,141,19,53,0,2
W2-P11,1955,1484,150,44,24,2,3,83,165,50,2,7,0,0,81,25,1592,1282,105,32,23,2,3
W3-P8,1881,1369,67,7,337,1,3,41,56,32,2,0,0,0,13,9,1813,1349,61,5,306,1,2
W9-P9,3035,681,750,47,84,1,10,90,1372,367,38,26,0,0,797,144,2138,605,466,30,63,1,3
W12-P13,1479,1299,36,24,25,0,2,34,59,29,1,7,0,0,12,10,1205,1090,29,17,17,0,1
W10-P7,2807,1888,372,34,134,0,8,100,271,109,5,13,3,0,123,18,2592,1833,303,31,123,0,8
W13-P2,1651,1482,18,2,52,0,6,41,50,33,0,4,1,0,7,5,1276,1171,15,2,38,0,3
W13-P3,2308,2044,56,7,71,0,1,60,69,56,1,1,1,0,5,5,1754,1607,26,5,49,0,0
W13-P5,2120,1928,43,4,60,0,3,28,54,27,0,1,0,0,19,7,1605,1483,27,4,42,0,2
W13-P12,1535,1396,25,2,35,0,2,24,51,26,4,3,1,0,16,1,1158,1087,20,2,20,0,1
