,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C01026,13.640757869610622,4.696540219440414,0,3.179634627642982,0.4312044810329161,0,0,0,0,41.14577131850814,5.461040098056382,0,3.512081947119594,2.6711609175275783,0,0,0,0,0,0,0,0,0,0,0,0,0
C01027,22.409816500074594,7.715744646223537,0,5.223685459699184,0.7084073616969336,0,0,0,0,60.444230432498685,8.02241288741026,0,5.159341621432324,3.924006303624584,0,0,0,0,0,0,0,0,0,0,0,0,0
C01028,10.392958376846188,3.5783163576688866,0,2.4225787639184624,0.32853674745365036,0,0,0,0,18.570215373839957,2.464717212397128,0,1.5850989318858344,1.2055682017159866,0,0,0,0,0,0,0,0,0,0,0,0,0
C01029,33.77711472475011,11.629528162423881,0,7.873380982735003,1.0677444292243636,0,0,0,0,74.28086149535983,9.858868849588513,0,6.340395727543338,4.822272806863946,0,0,0,0,0,0,0,0,0,0,0,0,0
C01030,23.384156347903925,8.051211804754995,0,5.45080221881654,0.7392076817707133,0,0,0,0,66.99842409385397,8.892313080021012,0,5.718788303274383,4.349500963053756,0,0,0,0,0,0,0,0,0,0,0,0,0
C01031,28.580635536327016,9.840369983589438,0,6.662091600775772,0.9034760554975385,0,0,0,0,53.16179303099282,7.055857117842759,0,4.53773419716337,3.451234459814393,0,0,0,0,0,0,0,0,0,0,0,0,0
C01032,28.255855587050576,9.728547597412286,0,6.5863860144033195,0.8932092821396119,0,0,0,0,61.172474172649274,8.119068464367011,0,5.221502363859219,3.971283488005603,0,0,0,0,0,0,0,0,0,0,0,0,0
C01033,39.62315381172609,13.64233111361263,0,9.236081537439137,1.252546349667042,0,0,0,0,64.08544913325161,8.505690772194011,0,5.470145333566801,4.160392225529679,0,0,0,0,0,0,0,0,0,0,0,0,0
C01034,12.016858123228404,4.13742828855465,0,2.8011066957807222,0.3798706142432832,0,0,0,0,52.797671160917524,7.0075293293643846,0,4.506653825949922,3.4275958676238836,0,0,0,0,0,0,0,0,0,0,0,0,0
C01035,35.725794420408775,12.300462479486798,0,8.327614500969714,1.1293450693719231,0,0,0,0,68.09078970407984,9.037296445456137,0,5.812029416914727,4.420416739625284,0,0,0,0,0,0,0,0,0,0,0,0,0
C01036,28.580635536327016,9.840369983589438,0,6.662091600775772,0.9034760554975385,0,0,0,0,56.803011731745755,7.5391350026265105,0,4.848537909297846,3.6876203817194884,0,0,0,0,0,0,0,0,0,0,0,0,0
C01037,30.529315231985677,10.511304300652354,0,7.116325119010483,0.9650766956450979,0,0,0,0,55.71064612151987,7.394151637191385,0,4.755296795657503,3.61670460514796,0,0,0,0,0,0,0,0,0,0,0,0,0
